word,kana,pos,meaning,example,example_trans,image_url
会場,かいじょう,,大会堂或会议场所,,,
生きる,いきる,,活着,,,
パソコン,パソコン,,个人电脑,,,
彼,かれ,,他，男朋友,,,
びっくり・する,びっくり・する,,令人惊讶,,,
予習,よしゅう,,备课,,,
だめ,だめ,,白搭,,,
鏡,かがみ,,镜子,,,
ごみ,ごみ,,垃圾,,,
オートバイ,オートバイ,,摩托车,,,
美しい,うつくしい,,美丽,,,
気分,きぶん,,心情,,,
お祝い,おいわい,,祝贺,,,
看護婦,かんごふ,,女护士,,,
運転,うんてん,,开车,,,
表,ひょう,,正面,,,
空港,くうこう,,飞机场,,,
昼間,ひるま,,白天，白天,,,
高等学校,こうとうがっこう,,高中,,,
通う,かよう,,通勤,,,
集る,たかる,,聚集,,,
漬ける,つける,,浸泡，腌制,,,
湖,みずうみ,,湖,,,
滑る,すべる,,滑动，滑动,,,
ああ,ああ,,诸如此类,,,
たまに,たまに,,偶尔,,,
景色,けしき,,场景，景观,,,
踊り,おどり,,舞蹈,,,
アクセサリー,アクセサリー,,附属品,,,
うまい,うまい,,美味,,,
アメリカ,アメリカ,,美洲,,,
ステレオ,ステレオ,,立体声,,,
指輪,ゆびわ,,戒指,,,
卒業,そつぎょう,,毕业,,,
正しい,ただしい,,正确,,,
隅,すみ,,角落，角落,,,
会議,かいぎ,,会议,,,
代わり,かわり,,替补，替补,,,
汽車,きしゃ,,蒸汽火车,,,
医学,いがく,,醫學,,,
明日,あした,,明天,,,
お祭り,おまつり,,节日,,,
ずいぶん,ずいぶん,,非常,,,
最近,さいきん,,最新，如今,,,
止める,とめる,,停止,,,
移る,うつる,,搬家或转让,,,
残る,のこる,,留下来,,,
息子,むすこ,,（谦卑的）儿子,,,
送る,おくる,,发送,,,
産業,さんぎょう,,工业,,,
動く,うごく,,移动,,,
笑う,わらう,,笑，笑,,,
けれど/けれども,けれどけれども,,然而,,,
場合,ばあい,,情况,,,
レジ,レジ,,注册,,,
冷える,ひえる,,变冷,,,
席,せき,,座位,,,
植える,うえる,,种植，成长,,,
しかる,しかる,,一个特定的,,,
西洋,せいよう,,西方国家,,,
社長,しゃちょう,,公司总裁,,,
楽む,らくむ,,尽情享受,,,
コンサート,コンサート,,音乐会,,,
やっと,やっと,,最后,,,
思う,おもう,,去思考，去感受,,,
事務所,じむしょ,,办公室,,,
サンダル,サンダル,,凉鞋,,,
遠慮,えんりょ,,要保留，要克制,,,
もっとも,もっとも,,非常,,,
小説,しょうせつ,,小说,,,
不便,ふべん,,不便,,,
絹,きぬ,,丝绸,,,
直す,なおす,,修复，修复,,,
先輩,せんぱい,,前辈,,,
熱,ねつ,,发烧,,,
厳しい,きびしい,,严格,,,
人形,にんぎょう,,娃娃， 数字,,,
複雑,ふくざつ,,复杂性、复杂性,,,
ジャム,ジャム,,果酱,,,
億,おく,,一亿,,,
安心,あんしん,,救济,,,
世界,せかい,,世界,,,
電報,でんぽう,,电报,,,
テキスト,テキスト,,教科书，教科书,,,
残念,ざんねん,,失望,,,
チェック・する,チェック・する,,检查,,,
細かい,こまかい,,小巧、精细,,,
悲しい,かなしい,,伤心,,,
焼く,やく,,烘烤，烧烤,,,
講義,こうぎ,,演讲,,,
はっきり,はっきり,,清楚,,,
引き出し,ひきだし,,抽屉，拉出,,,
プレゼント,プレゼント,,目前,,,
これから,これから,,在此之后,,,
店員,てんいん,,店员,,,
光,ひかり,,光,,,
いらっしゃる,いらっしゃる,,（恭敬）是，来或去,,,
男性,だんせい,,雄,,,
のど,のど,,喉,,,
落す,おとす,,掉落,,,
そんなに,そんなに,,如此之多，就像那样,,,
ほめる,ほめる,,赞美,,,
騒ぐ,さわぐ,,制造噪音，兴奋,,,
済む,すむ,,完成,,,
旅館,りょかん,,日本酒店,,,
泳ぎ方,およぎかた,,游泳方式,,,
腕,うで,,手臂,,,
案内,あんない,,指导,,,
大学生,だいがくせい,,大学生,,,
火,ひ,,火灾,,,
けんか・する,けんか・する,,吵架,,,
十分,じゅうふん,,足够,,,
連絡,れんらく,,联系,,,
ごちそう,ごちそう,,一场盛宴,,,
ぬれる,ぬれる,,弄湿,,,
研究,けんきゅう,,研究,,,
捕まえる,つかまえる,,抓住,,,
決める,きめる,,决定,,,
通る,とおる,,通过,,,
いっぱい,いっぱい,,满,,,
怒る,おこる,,生气，生气,,,
スーツ,スーツ,,适合,,,
運転手,うんてんしゅ,,司机,,,
じゃま,じゃま,,阻碍，入侵,,,
柔道,じゅうどう,,柔道,,,
くれる,くれる,,给,,,
間,ま,,一个空间,,,
以下,いか,,小于,,,
君,きみ,,（非正式）你（男人对女人使用）,,,
島,しま,,岛,,,
きっと,きっと,,肯定,,,
落る,おちる,,跌倒或跌落,,,
おかげ,おかげ,,由于,,,
承知,しょうち,,同意,,,
文法,ぶんぽう,,语法,,,
出発,しゅっぱつ,,出发,,,
かまう,かまう,,介意,,,
赤ん坊,あかんぼう,,婴儿,,,
近所,きんじょ,,附近,,,
アナウンサー,アナウンサー,,播音员,,,
足す,たす,,添加数字,,,
紹介,しょうかい,,介绍,,,
一生懸命,いっしょうけんめい,,尽最大努力,,,
払う,はらう,,支付,,,
揺れる,ゆれる,,摇晃，摇摆,,,
都,と,,大主教,,,
音,おと,,声音，注意,,,
そろそろ,そろそろ,,渐渐地，很快,,,
申す,もうす,,（谦卑）被召唤，说,,,
社会,しゃかい,,社会，公众,,,
うん,うん,,（非正式）是,,,
石,いし,,石头,,,
それに,それに,,此外,,,
火事,かじ,,火灾,,,
消しゴム,けしゴム,,橡皮擦,,,
ほど,ほど,,程度,,,
日記,にっき,,杂志,,,
文学,ぶんがく,,文献,,,
ソフト,ソフト,,软,,,
港,みなと,,港湾,,,
新聞社,しんぶんしゃ,,报社,,,
サラダ,サラダ,,沙拉,,,
真中,まんなか,,中间,,,
参る,まいる,,（谦卑）去，来,,,
故障,こしょう,,分解,,,
うそ,うそ,,谎言,,,
すばらしい,すばらしい,,美妙,,,
勝つ,かつ,,赢,,,
割合,わりあい,,比率，比率，百分比,,,
壊す,こわす,,打破,,,
スクリーン,スクリーン,,屏幕,,,
自由,じゆう,,自由,,,
大事,だいじ,,重要、有价值、严肃的事情,,,
都合,つごう,,环境，便利,,,
教育,きょういく,,教育,,,
注意,ちゅうい,,谨慎,,,
探す,さがす,,寻找,,,
出席,しゅっせき,,参加,,,
技術,ぎじゅつ,,艺术、技术、技能,,,
着物,きもの,,和服,,,
事故,じこ,,事故,,,
おいでになる,おいでになる,,（恭敬）成为,,,
売り場,うりば,,卖东西的地方,,,
機会,きかい,,机会,,,
普通,ふつう,,通常，或者在每个车站停靠的火车,,,
もし,もし,,如果,,,
理由,りゆう,,原因,,,
アルコール,アルコール,,酒精,,,
以内,いない,,在,,,
予定,よてい,,安排,,,
放送,ほうそう,,广播,,,
確か,たしか,,明确,,,
急,きゅう,,紧急，陡峭,,,
決して,けっして,,从不,,,
喜ぶ,よろこぶ,,高兴,,,
習慣,しゅうかん,,风俗，礼仪,,,
中学校,ちゅうがっこう,,初中、初中,,,
棚,たな,,货架,,,
首,くび,,脖子,,,
押し入れ,おしいれ,,壁橱,,,
高校,こうこう,,高中,,,
そう,そう,,真,,,
掛ける,かける,,挂东西,,,
市民,しみん,,公民,,,
漫画,まんが,,漫画,,,
答,こたえ,,响应,,,
太る,ふとる,,变胖,,,
行う,おこなう,,去做,,,
雲,くも,,云,,,
場所,ばしょ,,位置,,,
両方,りょうほう,,双方,,,
用事,ようじ,,要做的事,,,
課長,かちょう,,部门经理,,,
差し上げる,さしあげる,,（礼貌）给,,,
コンピュータ/コンピューター,コンピュータコンピューター,,计算机,,,
心,こころ,,核心，心脏,,,
ピアノ,ピアノ,,钢琴,,,
親,おや,,父母,,,
無理,むり,,不可能的,,,
調べる,しらべる,,进行调查,,,
ガス,ガス,,汽油,,,
