word,kana,pos,meaning,example,example_trans,image_url
どなた,どなた,,谁,,,
男の子,おとこのこ,,男孩,,,
七,なな,,七,,,
番号,ばんごう,,号码，编号,,,
どっち,どっち,,哪,,,
塩,しお,,盐,,,
など,など,,等等,,,
古い,ふるい,,旧（不用于人）,,,
レストラン,レストラン,,餐厅,,,
少ない,すくない,,少的，少，不多,,,
強い,つよい,,强,,,
呼ぶ,よぶ,,呼唤，邀请,,,
掛かかる,かけかかる,,花费时间或金钱,,,
交番,こうばん,,派出所,,,
頭,あたま,,头,,,
どこ,どこ,,哪里,,,
辞書,じしょ,,字典,,,
大きな,おおきな,,大,,,
毎月,まいつき,,每个月,,,
大勢,たいせい,,人数众多,,,
丸い/円い,まるいまるい,,圆形,,,
角,かく,,角，拐角,,,
大好き,だいすき,,非常讨人喜欢,,,
たくさん,たくさん,,多,,,
私,わたし,,（谦虚）我，我自己,,,
物,もの,,东西,,,
山,やま,,山,,,
鳥,とり,,鸟,,,
上げる,あげる,,给,,,
大変,たいへん,,困难的局面,,,
おいしい,おいしい,,美味,,,
外国,がいこく,,异国,,,
風邪,かぜ,,感冒,,,
女の子,おんなのこ,,女孩,,,
降りる,おりる,,下车，下山,,,
後ろ,うしろ,,后,,,
頼む,たのむ,,请求，拜托，委托,,,
熱い,あつい,,摸起来很热,,,
起きる,おきる,,起床,,,
デパート,デパート,,百货公司,,,
七日,ななにち,,七天，第七天,,,
切る,きる,,切割,,,
南,みなみ,,南,,,
箸,はし,,筷子,,,
タクシー,タクシー,,出租车,,,
郵便局,ゆうびんきょく,,邮局,,,
紙,かみ,,纸,,,
勤める,つとめる,,为某人工作,,,
走る,はしる,,运行,,,
テープ,テープ,,磁带,,,
上着,うわぎ,,夹克,,,
見せる,みせる,,显示,,,
渡す,わたす,,交出,,,
全部,ぜんぶ,,都,,,
一昨日,おととい,,前天,,,
お皿,おさら,,盘子、盘子,,,
毎朝,まいあさ,,每天早上,,,
あさって,あさって,,后天,,,
鍵,かぎ,,钥匙,,,
お巡まわりさん,おじゅんまわりさん,,警察的友好术语,,,
自転車,じてんしゃ,,自行车,,,
曇り,くもり,,多云天气,,,
可愛い,かわいい,,可爱,,,
それ,それ,,那,,,
教室,きょうしつ,,课堂,,,
プール,プール,,游泳池,,,
耳,みみ,,耳朵,,,
出す,だす,,放出,,,
こんな,こんな,,这样,,,
半分,はんぶん,,一半,,,
太い,ふとい,,粗的，粗壮的，胖的,,,
木曜日,もくようび,,星期四,,,
書く,かく,,写,,,
留学生,りゅうがくせい,,海外学生,,,
水曜日,すいようび,,星期三,,,
作る,つくる,,做，制作,,,
バター,バター,,黄油,,,
葉書,はがき,,明信片,,,
一日,いちにち,,每月第一天,,,
フォーク,フォーク,,叉,,,
取る,とる,,拿东西,,,
さあ,さあ,,好吧...,,,
肉,にく,,肉,,,
図書館,としょかん,,图书馆,,,
日曜日,にちようび,,星期日,,,
下,した,,下面,,,
下手,へた,,不擅长,,,
薄い,うすい,,薄，弱,,,
こっち,こっち,,这个人或方式,,,
差す,さす,,伸出双手，举起雨伞,,,
卵,たまご,,蛋,,,
ちょうど,ちょうど,,完全,,,
夕飯,ゆうはん,,晚餐,,,
質問,しつもん,,问题,,,
あちら,あちら,,那里,,,
上,うえ,,在顶部,,,
出かける,でかける,,外出,,,
来年,らいねん,,明年,,,
鳴く,なく,,动物的噪音。唧唧喳喳、咆哮或呱呱叫等。,,,
ナイフ,ナイフ,,刀,,,
やる,やる,,去做,,,
せっけん,せっけん,,肥皂,,,
色,いろ,,颜色,,,
ニュース,ニュース,,新闻,,,
嫌,いや,,不愉快,,,
勉強,べんきょう,,学习,,,
動物,どうぶつ,,动物,,,
忘れる,わすれる,,忘记,,,
違う,ちがう,,不同,,,
声,こえ,,声音,,,
東,ひがし,,东,,,
地図,ちず,,地图,,,
箱,はこ,,箱,,,
もう一度,もういちど,,再,,,
着る,きる,,从肩膀以下穿上,,,
明日,あした,,明天,,,
いかが,いかが,,如何,,,
毎年,まいとし,,每年,,,
煙草,たばこ,,烟草，香烟,,,
花瓶,かびん,,一个花瓶,,,
鼻,はな,,鼻子,,,
次,つぎ,,下一个,,,
大丈夫,だいじょうぶ,,好吧,,,
晩,ばん,,傍晚,,,
英語,えいご,,英语,,,
居る,おる,,to be， to have（用于人和动物）,,,
木,き,,树， 木头,,,
キロ/キログラム,キロキログラム,,公斤,,,
持つ,もつ,,举行,,,
温い,ぬくい,,温的，微温的,,,
見る/観る,みるみる,,去看，看,,,
黄色い,きいろい,,黄色,,,
電気,でんき,,电，电灯,,,
あっち,あっち,,那边,,,
今朝,けさ,,今天早上,,,
春,はる,,春天,,,
夏,なつ,,夏天,,,
本当,ほんとう,,真理,,,
一,いち,,一,,,
電話,でんわ,,电话,,,
甘い,あまい,,甜,,,
窓,まど,,窗,,,
危ない,あぶない,,危险,,,
じゃ/じゃあ,じゃじゃあ,,那么......,,,
吹く,ふく,,吹,,,
冷蔵庫,れいぞうこ,,冰箱,,,
時間,じかん,,时间,,,
病院,びょういん,,医院,,,
冬,ふゆ,,冬,,,
コピーする,コピーする,,复制,,,
ラジオ,ラジオ,,收音机,,,
明い,あかい,,明亮,,,
暑い,あつい,,热,,,
店,みせ,,店,,,
外国人,がいこくじん,,外国人,,,
左,ひだり,,左手边,,,
ハンカチ,ハンカチ,,手帕,,,
カレンダー,カレンダー,,日历,,,
向こう,むこう,,那边,,,
雪,ゆき,,雪,,,
仕事,しごと,,工作,,,
お金,おかね,,钱,,,
ワイシャツ,ワイシャツ,,商务衬衫,,,
小さい,ちいさい,,小,,,
とり肉,とりにく,,鸡肉,,,
午後,ごご,,下午,,,
晴れ,はれ,,晴,,,
いくら,いくら,,多少？,,,
パーティー,パーティー,,派对，聚会，党派,,,
楽しい,たのしい,,愉快,,,
ノート,ノート,,笔记本，练习册,,,
赤,あか,,红,,,
始まる,はじまる,,开始,,,
休み,やすみ,,休息，假期,,,
どちら,どちら,,两者中的哪一个,,,
開く,ひらく,,开放，成为开放,,,
家,いえ,,房子,,,
猫,ねこ,,猫,,,
早い,はやい,,早,,,
皆,みな,,大家,,,
磨く,みがく,,刷牙，抛光,,,
お兄さん,おにいさん,,（尊敬的）哥哥,,,
すぐに,すぐに,,立即,,,
厚い,あつい,,善良、深沉、厚重,,,
晩御飯,ばんごはん,,晚餐,,,
朝御飯,あさごはん,,早餐,,,
テスト,テスト,,测试,,,
何,なに,,什么,,,
とても,とても,,非常,,,
青,あお,,蓝,,,
泳ぐ,およぐ,,游泳,,,
一緒,いっしょ,,一起,,,
並べる,ならべる,,排队，设置,,,
背広,せびろ,,西装,,,
はい,はい,,是的,,,
紅茶,こうちゃ,,红茶,,,
