word,kana,pos,meaning,example,example_trans,image_url
好況,こうきょう,,条件繁华，经济健康,,,
益々,ますます,,越来越多,,,
諦め,あきらめ,,辞职、接纳、安慰,,,
優,ゆう,,温柔、深情,,,
若しも,もしも,,如果,,,
採集,さいしゅう,,收集，收集,,,
紛争,ふんそう,,争执、麻烦、纷争,,,
高尚,こうしょう,,高贵、精致、先进,,,
どうやら,どうやら,,看起来，不知何故,,,
核,かく,,细胞核、内核,,,
歩む,あゆむ,,走路，步行,,,
叶える,かなえる,,授予（请求愿望）,,,
向き,むき,,方向、情况、曝光、方面、适用性,,,
束縛,そくばく,,束缚， 束缚， 限制， 禁闭， 束缚,,,
魂,たましい,,灵魂，精神,,,
側面,そくめん,,侧， 侧， 侧光， 侧光， 侧,,,
一部,いちぶ,,1. 一份文件副本， 2.一部分，部分，一些,,,
出社,しゅっしゃ,,到达（在一个国家/地区工作等）,,,
一まず,いちまず,,对于现在，一次，在大纲中,,,
片言,かたこと,,一个零星的，像婴儿一样说话，说话停滞不前,,,
手当て,てあて,,津贴、补偿、治疗、医疗,,,
助動詞,じょどうし,,助动词,,,
口述,こうじゅつ,,口头陈述,,,
空しい,むなしい,,空虚的、徒劳的、虚妄的、空虚的、空虚的、无效的、死气沉沉的,,,
異論,いろん,,不同意见、异议,,,
呆れる,あきれる,,惊讶，震惊,,,
他人,たにん,,另一个人，无关的人，局外人，陌生人,,,
弛み,ゆるみ,,松弛、松弛、沉闷、失望,,,
安っぽい,やすっぽい,,廉价、俗气、微不足道,,,
中枢,ちゅうすう,,中心， 支点， 中流砥柱， 核心， 骨干， 中心人物， 支柱， 关键人物,,,
返還,へんかん,,返回、恢复,,,
取材,しゅざい,,选择主题，收集数据,,,
混血,こんけつ,,混血儿，混血儿,,,
法学,ほうがく,,法律、法理学,,,
シート,シート,,座椅， 片材,,,
期日,きじつ,,固定日期、结算日期,,,
留める,とめる,,停止，停止，结束,,,
判定,はんてい,,判决， 决定， 裁决， 判决,,,
貴女,きじょ,,你，女士,,,
境遇,きょうぐう,,环境、环境,,,
皺,しわ,,皱纹、折痕,,,
難,なん,,困难、艰辛、缺陷,,,
クレーン,クレーン,,起重机,,,
誂える,あつらえる,,下订单，下订单,,,
推理,すいり,,推理、推理、悬疑或侦探类型（电影小说等）,,,
担う,になう,,扛在肩上，扛着（担子），扛着（枪）,,,
上下,じょうか,,高与低、上与下、卸货与装货、赞美与责备,,,
辻褄,つじつま,,连贯性、一致性,,,
ミスプリント,ミスプリント,,错字,,,
刑,けい,,刑罚， 判刑， 刑罚,,,
知性,ちせい,,情报,,,
員,いん,,成员,,,
揺らぐ,ゆらぐ,,摇摆，摇摆，摇晃，颤抖,,,
軸,じく,,轴、阀杆、轴、轴,,,
書き取る,かきとる,,写下来，听写，做笔记,,,
無言,むごん,,沉默,,,
お邪魔します,おじゃまします,,对不起，打扰（打断）你,,,
応募,おうぼ,,订阅、应用程序,,,
丸っきり,まるっきり,,完全，完美，就像,,,
介抱,かいほう,,护理，照顾,,,
とんだ,とんだ,,可怕的，可怕的，严肃的，荒谬的，绝对不是,,,
何れ,いずれ,,好吧，现在，让我看看，哪个（三个或更多）,,,
スラックス,スラックス,,裤子,,,
幹部,かんぶ,,管理层、（执行）员工、领导,,,
捜索,そうさく,,搜索（特别是寻找某人或某物丢失）、调查,,,
窮乏,きゅうぼう,,贫困,,,
清純,せいじゅん,,纯洁、纯真,,,
お祖父さん,おじいさん,,爷爷，男性老年人,,,
言伝,ことづて,,声明，道听途说,,,
噴出,ふんしゅつ,,喷出、喷出、喷出、喷出、渗出,,,
真下,ました,,正下方，正下方,,,
志望,しぼう,,愿望、欲望、野心,,,
形態,けいたい,,形式， 形状， 数字,,,
叶う,かなう,,成真（愿望）,,,
苦しめる,くるしめる,,折磨，骚扰，施加痛苦,,,
以て,もって,,与，通过，通过，因为，鉴于,,,
ジャンパー,ジャンパー,,夹克， 套头衫,,,
公募,こうぼ,,公众呼吁，公众贡献,,,
悪化,あっか,,恶化、恶化、恶化、退化、腐败,,,
民俗,みんぞく,,人， 种族， 民族， 种族习俗， 民间习俗,,,
悩ます,なやます,,折磨、折磨、骚扰、骚扰,,,
制する,せいする,,控制，指挥，获得更好的,,,
いっそ,いっそ,,相反，早点，还不如,,,
母校,ぼこう,,母校,,,
費やす,ついやす,,花钱，奉献，浪费,,,
製鉄,せいてつ,,炼铁,,,
本音,ほんね,,真实意图、动机,,,
独裁,どくさい,,独裁、专制,,,
中立,ちゅうりつ,,中立,,,
慌ただしい,あわただしい,,忙碌、匆忙、迷茫、慌乱,,,
檻,おり,,笼子， 钢笔， 牢房,,,
ソックス,ソックス,,袜子,,,
バッジ,バッジ,,徽章,,,
分業,ぶんぎょう,,分工、专业化、流水线化生产,,,
仕組み,しくみ,,设计、计划、阴谋、设计、施工、安排,,,
乳,ちち,,牛奶， 母乳， 环,,,
平行,へいこう,,（行）并、,,,
対処,たいしょ,,处理，应对,,,
土俵,どひょう,,竞技场,,,
弱まる,よわまる,,减弱，虚弱，憔悴，沮丧，困惑,,,
地主,じぬし,,房东,,,
落下,らっか,,跌倒，跌倒，跌倒,,,
偏見,へんけん,,偏见，狭隘的视野,,,
添う,そう,,陪伴，结婚，遵守,,,
期,き,,期间、时间,,,
生かす,いかす,,复活，复苏，利用,,,
本格,ほんかく,,礼仪，基本规则,,,
物好き,ものずき,,好奇心,,,
球根,きゅうこん,,（植物）鳞茎,,,
待遇,たいぐう,,治疗、接待,,,
技,わざ,,艺术， 技术,,,
化ける,ばける,,伪装出现，采取形式，变得更糟,,,
爆破,ばくは,,爆炸，爆炸，爆炸,,,
施行,しこう,,1. 执行、执行、执行,,,
次いで,ついで,,下一个，其次，随后,,,
前売り,まえうり,,预售、预订,,,
凡ゆる,あらゆる,,所有，每个,,,
官僚,かんりょう,,官僚，官僚主义,,,
側,がわ,,侧， 行， 周围， 部分， （手表） 案例,,,
真上,まうえ,,正上方，正上方,,,
職員,しょくいん,,工作人员、人事,,,
禁物,きんもつ,,禁忌，禁忌,,,
ショック,ショック,,休克,,,
議題,ぎだい,,讨论主题、议程,,,
堂々,どうどう,,宏伟，宏伟，令人印象深刻,,,
イエス,イエス,,耶稣，是的,,,
問屋,とんや,,批发店,,,
衆,しゅう,,群众，群众，人民,,,
時折,ときおり,,有时,,,
提携,ていけい,,合作、合作、合资、联动,,,
膨れる,ふくれる,,交叉，生闷气，膨胀（出来），膨胀，膨胀，膨胀，膨胀，膨胀,,,
花粉,かふん,,花粉,,,
好ましい,このましい,,好，讨人喜欢，令人向往,,,
出費,しゅっぴ,,费用、支出,,,
転勤,てんきん,,传输、传输,,,
古代,こだい,,古代,,,
好評,こうひょう,,人气大，口碑好,,,
恥じる,はじる,,感到羞愧,,,
煌びやか,きらびやか,,华丽，华丽，耀眼，同性恋,,,
政権,せいけん,,行政， 政治权力,,,
追跡,ついせき,,追求,,,
各,かく,,每个，每个，要么，分别，几个,,,
配布,はいふ,,分配,,,
依然,いぜん,,尽管如此，到目前为止,,,
合併,がっぺい,,合并、联合、合并、合并、合并、联盟、融合、吞并、隶属关系、公司,,,
幹線,かんせん,,干线、干线,,,
驚異,きょうい,,奇迹，奇迹,,,
平方,へいほう,,正方形（例如米）、正方形,,,
十字路,じゅうじろ,,十字路口,,,
元首,げんしゅ,,统治者，至高无上,,,
無能,むのう,,效率低下，无能,,,
享受,きょうじゅ,,接受、接受、享受、给予,,,
昇進,しょうしん,,晋升,,,
主人公,しゅじんこう,,主角、主角、英雄（故事）、户主,,,
大金,たいきん,,成本高,,,
臨む,のぞむ,,向外看，面对，处理，参加（功能）,,,
特派,とくは,,特派特使,,,
腐敗,ふはい,,腐朽，堕落,,,
静止,せいし,,寂静，休憩，静止不动,,,
警部,けいぶ,,警务督察,,,
潮,しお,,潮,,,
職務,しょくむ,,专业职责,,,
ナンセンス,ナンセンス,,废话,,,
あられ,あられ,,饼干的种类，卡通人物,,,
活ける,いける,,安排（鲜花）,,,
目盛,めもり,,比例、渐变,,,
控える,ひかえる,,要吸引，要忍住，要做笔记，要节制,,,
ドリル,ドリル,,钻,,,
最善,さいぜん,,最好的,,,
戯曲,ぎきょく,,戏剧， 戏剧,,,
アルミ,アルミ,,铝（Al）、铝,,,
言論,げんろん,,讨论,,,
問い合わせる,といあわせる,,查询，寻求信息,,,
補給,ほきゅう,,供应、供应、补货,,,
携帯,けいたい,,携带东西,,,
据え付ける,すえつける,,安装、装备、安装,,,
細菌,さいきん,,芽孢杆菌、细菌、胚芽,,,
しぶとい,しぶとい,,顽强、倔强,,,
増し,まし,,额外，额外，不那么令人反感，更好，更可取,,,
僧,そう,,僧侣、牧师,,,
ベスト,ベスト,,最好的，背心,,,
飼育,しいく,,育种、饲养、饲养,,,
目眩,めまい,,头晕、头晕,,,
接ぐ,つぐ,,连接，拼凑，设置（骨头），嫁接（树木）,,,
群がる,むらがる,,蜂拥而至，聚集,,,
沼,ぬま,,沼泽， 沼泽， 池塘， 湖泊,,,
寄与,きよ,,贡献、服务,,,
何て,なにて,,怎么...！，什么...！,,,
域外,いきがい,,区域外,,,
甘い,あまい,,美味,,,
曲がる,まがる,,转弯，弯曲,,,
手遅れ,ておくれ,,为时已晚，治疗迟来,,,
条約,じょうやく,,条约、公约,,,
ダウン,ダウン,,下,,,
不調,ふちょう,,状况不佳，无法解决（即交易），分歧，中断，混乱，低迷，形式不正常,,,
売れ行き,うれゆき,,销售,,,
まごつく,まごつく,,迷茫，惊慌失措,,,
荒っぽい,あらっぽい,,粗暴，粗鲁,,,
棟,むね,,地点， 部分， 建筑物,,,
罰,ばち,,（神圣的）惩罚、诅咒、报应,,,
今更,いまさら,,现在，在这个深夜,,,
平均,へいきん,,平衡、平衡、平均、平均,,,
ひょっと,ひょっと,,可能，不小心,,,
討論,とうろん,,辩论，讨论,,,
心得,こころえ,,知识、信息,,,
要望,ようぼう,,需求，请求,,,
落ちる,おちる,,不及格（例如考试）、跌倒、跌倒,,,
従って,したがって,,因此，因此，根据,,,
傷付く,きずつく,,受伤，受伤，受伤,,,
宿命,しゅくめい,,命运，命运，宿命,,,
