word,kana,pos,meaning,example,example_trans,image_url
和英,かずひで,,日语-英语,,,
手入れ,ていれ,,维修，保养,,,
手前,てまえ,,以前，这边，我们，你,,,
逃がす,にがす,,放开，放飞，放飞,,,
纏める,まとめる,,整理，收集，得出结论,,,
頭脳,ずのう,,头脑，大脑，智力,,,
停止,ていし,,暂停，中断，停止，禁止,,,
大通り,おおどおり,,大街,,,
オートメーション,オートメーション,,自动化,,,
合流,ごうりゅう,,汇合，联合，链接，合并,,,
醤油,しょうゆ,,酱油,,,
垣根,かきね,,对冲,,,
コンセント,コンセント,,（1）同意，（2）同心,,,
滝,たき,,瀑布,,,
要領,ようりょう,,要点，要点，要点，大纲,,,
マフラー,マフラー,,消声器，围巾,,,
テニスコート,テニスコート,,网球场,,,
ぴかぴか,ぴかぴか,,闪光，闪闪发光,,,
盆,ぼん,,元宵节，亡灵节，托盘,,,
儲ける,もうける,,得到，赚，得，生孩子,,,
浸ける,つける,,浸入，浸泡,,,
逆さ,さかさ,,反转，反转，颠倒,,,
紅葉,こうよう,,（1） （日语） 枫木,,,
客席,きゃくせき,,宾客座位,,,
課税,かぜい,,税收,,,
ずうっと,ずうっと,,--,,,
取り入れる,とりいれる,,收获，吸收，收养,,,
ぎっしり,ぎっしり,,紧紧地，充分,,,
敬う,うやまう,,以示尊重，以示尊敬,,,
まぶた,まぶた,,眼睑,,,
幼児,ようじ,,婴儿，婴儿，儿童,,,
冷凍,れいとう,,冷冻、冷藏、制冷,,,
入社,にゅうしゃ,,进入公司,,,
四捨五入,ししゃごにゅう,,四舍五入（分数）,,,
響く,ひびく,,回响,,,
寿命,じゅみょう,,寿命,,,
固い,かたい,,顽固，坚固（不粘稠或易移动）,,,
討つ,うつ,,去攻击，去复仇,,,
短所,たんしょ,,（1）缺陷、缺点、弱点，（2）缺点,,,
応接,おうせつ,,接待,,,
ともかく,ともかく,,无论如何，无论如何，不知何故，一般来说，无论如何,,,
汚す,けがす,,（1）耻辱，耻辱，（2）污染，污染，污染，肮脏，玷污,,,
しっぽ,しっぽ,,尾巴（动物）,,,
向う,むこう,,（v5u）面对，走向,,,
実る,みのる,,结出果实，成熟,,,
消耗,しょうもう,,疲惫，消耗,,,
円周,えんしゅう,,周长,,,
青白い,あおじろい,,苍白，苍白,,,
軟らかい,やわらかい,,柔软、柔软、软绵绵的,,,
研修,けんしゅう,,训练,,,
テンポ,テンポ,,速度,,,
見本,みほん,,样本,,,
望遠鏡,ぼうえんきょう,,望远镜,,,
追加,ついか,,增补，补充，附录,,,
